,Unnamed: 0,Name,UserRating,Ingredients,FlavorProfile
0,0,Apple Cider Spritz,4.1,Apple Cider,Sweet
1,1,Banana Mango Smoothie,4.2,Banana,
2,2,Beetroot Tonic,,Beetroot Juice,Bitter
3,3,Bitter Orange Spritzer,,Orange Juice,
4,4,Blackberry Ginger Spritzer,4.3,Ginger Beer,Sour
5,5,Blackberry Lemonade,,Lemonade,
6,6,Blackberry Sage Spritzer,,Blackberry Syrup,
7,7,Blackberry Thyme Smash,,Blackberries,
8,8,Blood Orange Ginger Beer,,Blood Orange Juice,
9,9,Blueberry Ginger Fizz,,,
10,10,Blueberry Lemon Spritzer,,,
11,11,Carrot Ginger Tonic,,Carrot Juice,
12,12,Celery Tonic,,Celery Juice,
13,13,Cherry Cola,4.0,Cherry Syrup,
14,14,Cherry Vanilla Soda,,,
15,15,Chocolate Banana Shake,,Milk,Creamy
16,16,Citrus Mint Cooler,,,
17,17,Coconut Cream Chai,,Chai Tea,
18,18,Coconut Creamsicle,,Coconut Milk,
19,19,Coconut Lime Cooler,,Coconut Water,
20,20,Cranberry Lime Spritzer,,Cranberry Juice,
21,21,Cranberry Orange Spritzer,,,
22,22,Cranberry Spritz,,,Tart
23,23,Cranberry Thyme Spritzer,,,
24,24,Cucumber Cooler,,Cucumber Juice,
25,25,Cucumber Limeade,,,Refreshing
26,26,Cucumber Mint Cooler,,,
27,27,Dandelion Tea Spritz,,Dandelion Root Tea,
28,28,Fruit Punch,,,
29,29,Ginger Ale Spritzer,,Ginger Ale,
30,30,Ginger Lime Fizz,,Ginger Syrup,Spicy
31,31,Ginger Lime Rickey,,Lime Juice,
32,32,Ginger Peach Iced Tea,,Peach Tea,
33,33,Grapefruit Jalapeno Cooler,,Grapefruit Juice,
34,34,Grapefruit Mint,,,
35,35,Grapefruit Paloma,,,
36,36,Grapefruit Rosemary Spritzer,,,
37,37,Grapefruit Sage,,,
38,38,Grapefruit Spritzer,,,
39,39,,,,
40,40,Green Smoothie,,Spinach,
41,41,Hibiscus Tea Cooler,,Hibiscus tea,
42,42,Honeydew Basil Cooler,,Honeydew Melon Juice,
43,43,Honeydew Mint Cooler,,,
44,44,Kiwi Lime Mojito,,Kiwi,
45,45,Kiwi Margarita,,Kiwi Juice,
46,46,Kiwi Strawberry Lemonade,,,
47,47,Lavender Lemonade,,,
48,48,Lemon and Sage Spritz,,Lemon Juice,
49,49,Lemon Basil Fizz,,,
50,50,Lemon Ginger Iced Tea,,,
51,51,Lemon Rosemary Sparkler,,,
52,52,Lime and Cilantro Mocktail,,,
53,53,Mango Habanero Mocktail,,Mango Juice,
54,54,Mango Lassi,,Mango,
55,55,Matcha Green Tea Latte,,Matcha Powder,
56,56,Mint Julep Mocktail,,Mint leaves,Herbal
57,57,Minty Lemonade,,,
58,58,Minty Lime Refresher,,,
59,59,Orange Creamsicle,4.4,,
60,60,Orange Ginger Fizz,,,
61,61,Orange Sunrise,,,
62,62,Passionfruit Habanero Cooler,,Passionfruit juice,
63,63,Passionfruit Lemonade,,,
64,64,Passionfruit Mango Smoothie,,,
65,65,Peach Ginger Fizz,,Peach Juice,
66,66,Peach Iced Tea,,Peach tea,
67,67,Peach Lemonade,,,
68,68,Peanut Butter Banana Smoothie,,Peanut Butter,
69,69,Pina Colada Smoothie,,Pineapple Juice,
70,70,Pineapple Coconut Cooler,,,
71,71,Pineapple Coconut Mojito,,,
72,72,Pineapple Cucumber Cooler,,,
73,73,Pineapple Jalapeno Margarita,,,
74,74,Pineapple Mint Mocktail,,,
75,75,Pineapple Sage Tonic,,,
76,76,Pomegranate Lemon Spritzer,,Pomegranate Juice,
77,77,Pomegranate Margarita Mocktail,,,
78,78,Raspberry Lemon Spritzer,,,
79,79,Raspberry Lemonade,,,
80,80,Raspberry Lime Rickey,,Raspberry Syrup,
81,81,Raspberry Sparkler,,,
82,82,Raspberry White Hot Chocolate,,White Chocolate,
83,83,Shirley Temple,,Lemon Lime Soda,
84,84,Sour Apple Spritz,,Apple Juice,
85,85,Sparkling Lavender Lemonade,,,
86,86,Sparkling Peach Punch,,Peach Nectar,
87,87,Spiced Apple Cider,,,
88,88,Spicy Ginger Ale,,,
89,89,Spicy Grapefruit,,,
90,90,Strawberry Basil Lemonade,,,
91,91,Strawberry Cheesecake Smoothie,,Strawberries,
92,92,Strawberry Kiwi Smash,,,
93,93,Strawberry Mint Lemonade,,,
94,94,Tropical Punch,,,
95,95,Tropical Yogurt Smoothie,,,
96,96,Turmeric Tonic,,Turmeric Juice,
97,97,Vanilla Chai Latte,,,
98,98,Vanilla Rooibos Tea Latte,,Rooibos Tea,
99,99,Virgin Margarita,,,
100,100,,,Club Soda,
101,102,,,Tonic Water,
102,107,,,Thyme syrup,
103,109,,,,Fruity
104,110,,,Blueberries,
105,111,,,Ginger Juice,
106,113,,,Cola,
107,114,,,Club soda,
108,118,,,,Citrusy
109,133,,,Jalapeno Slices,
110,134,,,Mint Leaves,
111,137,,,Sage Leaves,
112,138,,,Soda Water,
113,141,,,,Floral
114,144,,,,Minty
115,147,,,Lavender,
116,149,,,Basil Syrup,
117,151,,,Rosemary Syrup,
118,152,,,Cilantro Syrup,
119,153,,,Habanero Syrup,
120,154,,,Yogurt,
121,155,,,,Earthy
122,163,,,Passionfruit Syrup,
123,164,,,Agave Syrup,
124,167,,,Peach Syrup,
125,168,,,,Nutty
126,171,,,Coconut water,
127,173,,,Jalapeno,
128,174,,,Mint syrup,
129,179,,,Raspberries,
130,183,,,Grenadine,
131,185,,,Lavender syrup,
132,186,,,Sparkling Water,
133,187,,,Cinnamon Stick,
134,188,,,Chili powder,Fizzy
135,189,,,Jalapeno Syrup,
136,191,,,Cream Cheese,
137,194,,,Orange juice,
138,195,,,Pineapple,
139,200,,,,"['Sweet', 'Refreshing']"
140,201,,,,"['Sweet', 'Creamy']"
141,202,,,,"['Bitter', 'Refreshing']"
142,203,,,,
143,204,,,,"['Sour', 'Refreshing']"
144,205,,,Simple Syrup,
145,206,,,Sage leaves,"['Sweet', 'Herbal']"
146,207,,,Lime,"['Sour', 'Herbal']"
147,208,,,,
148,209,,,,"['Sour', 'Fruity']"
149,210,,,,"['Sweet', 'Fruity']"
150,211,,,,"['Bitter', 'Spicy']"
151,212,,,,
152,213,,,Cherry,
153,214,,,Vanilla Extract,
154,215,,,Chocolate Syrup,"['Creamy', 'Sweet']"
155,216,,,,
156,217,,,Honey,"['Creamy', 'Spicy']"
157,218,,,,"['Creamy', 'Citrusy']"
158,219,,,,
159,220,,,,
160,221,,,,
161,222,,,Lime juice,"['Tart', 'Refreshing']"
162,223,,,,
163,224,,,,
164,225,,,,"['Refreshing', 'Sweet']"
165,226,,,,"['Refreshing', 'Herbal']"
166,227,,,,
167,228,,,,
168,229,,,,
169,230,,,,"['Spicy', 'Refreshing']"
170,231,,,,"['Sour', 'Spicy']"
171,232,,,Peach Slice,
172,233,,,,
173,234,,,,
174,235,,,,"['Sour', 'Bitter']"
175,236,,,Rosemary,"['Tart', 'Herbal']"
176,237,,,,
177,238,,,Grapefruit Slice,
178,239,,,,"['Refreshing', 'Bitter']"
179,240,,,,
180,241,,,,"['Tart', 'Floral']"
181,242,,,Basil leaves,
182,243,,,,
183,244,,,,"['Sour', 'Minty']"
184,245,,,,
185,246,,,Strawberry,"['Refreshing', 'Fruity']"
186,247,,,,
187,248,,,,
188,249,,,,
189,250,,,Iced Tea,
190,251,,,,
191,252,,,,
192,253,,,,
193,254,,,Sugar,
194,255,,,,"['Creamy', 'Earthy']"
195,256,,,,"['Herbal', 'Minty']"
196,257,,,,
197,258,,,,"['Refreshing', 'Tart']"
198,259,,,,
199,260,,,,
200,261,,,,
201,262,,,,
202,263,,,,
203,264,,,Passionfruit Juice,
204,265,,,,
205,266,,,,
206,267,,,,
207,268,,,,"['Creamy', 'Nutty']"
208,269,,,,"['Creamy', 'Fruity']"
209,270,,,,
210,271,,,,"['Sweet', 'Minty']"
211,272,,,,
212,273,,,"Simple Syrup, Lime",
213,274,,,,
214,275,,,,"['Bitter', 'Sweet']"
215,276,,,Lemon,"['Tart', 'Fruity']"
216,277,,,Agave syrup,
217,278,,,,
218,279,,,,
219,280,,,,
220,281,,,,
221,282,,,,
222,283,,,Maraschino Cherry,
223,284,,,,
224,285,,,,"['Sweet', 'Floral']"
225,286,,,,
226,287,,,Star Anise,
227,288,,,,"['Spicy', 'Fizzy']"
228,289,,,,
229,290,,,Basil Leaves,
230,291,,,,
231,292,,,,
232,293,,,Mint,
233,294,,,,
234,295,,,,
235,296,,,,
236,297,,,Vanilla Syrup,
237,298,,,Vanilla extract,"['Creamy', 'Herbal']"
238,299,,,,
239,300,,,"['Apple Cider', 'Club Soda', 'Cinnamon Stick']",
240,301,,,"['Banana', 'Mango', 'Yogurt']",
241,302,,,"['Beetroot Juice', 'Tonic Water', 'Lemon Juice']",
242,303,,,"['Orange Juice', 'Tonic Water', 'Grapefruit Juice']",
243,304,,,"['Ginger Beer', 'Lemon Juice', 'Blackberries']",
244,305,,,"['Lemonade', 'Blackberries', 'Simple Syrup']",
245,306,,,"['Blackberry Syrup', 'Club Soda', 'Sage leaves']",
246,307,,,"['Blackberries', 'Thyme syrup', 'Lime']",
247,308,,,"['Blood Orange Juice', 'Ginger Beer', 'Lime']",
248,309,,,"['Blackberry Syrup', 'Ginger Ale', 'Lime']",
249,310,,,"['Lemonade', 'Blueberries', 'Soda Water']",
250,311,,,"['Carrot Juice', 'Ginger Juice', 'Tonic Water']",
251,312,,,"['Celery Juice', 'Tonic Water', 'Lemon Juice']",
252,313,,,"['Cherry Syrup', 'Cola', 'Cherry']",
253,314,,,"['Cherry Syrup', 'Club soda', 'Vanilla Extract']",
254,315,,,"['Milk', 'Banana', 'Chocolate Syrup']",
255,316,,,"['Orange Juice', 'Grapefruit Juice', 'Mint leaves']",
256,317,,,"['Chai Tea', 'Coconut Milk', 'Honey']",
257,318,,,"['Coconut Milk', 'Orange Juice', 'Vanilla Extract']",
258,319,,,"['Coconut Water', 'Lime Juice', 'Agave Syrup']",
259,320,,,"['Cranberry Juice', 'Lime Juice', 'Club Soda']",
260,321,,,"['Cranberry Juice', 'Orange Juice', 'Soda Water']",
261,322,,,"['Cranberry Juice', 'Club Soda', 'Lime juice']",
262,323,,,"['Cranberry Juice', 'Thyme syrup', 'Club Soda']",
263,324,,,"['Cucumber Juice', 'Lime Juice', 'Club Soda']",
264,325,,,"['Cucumber Juice', 'Lime Juice', 'Agave Syrup']",
265,326,,,"['Cucumber Juice', 'Lime Juice', 'Mint leaves']",
266,327,,,"['Dandelion Root Tea', 'Club Soda', 'Lime Juice']",
267,328,,,"['Orange Juice', 'Pineapple Juice', 'Cranberry Juice']",
268,329,,,"['Ginger Ale', 'Lime Juice', 'Mint Leaves']",
269,330,,,"['Ginger Syrup', 'Lime Juice', 'Soda Water']",
270,331,,,"['Lime Juice', 'Ginger Syrup', 'Club Soda']",
271,332,,,"['Peach Tea', 'Ginger Ale', 'Peach Slice']",
272,333,,,"['Grapefruit Juice', 'Jalapeno Slices', 'Agave Syrup']",
273,334,,,"['Grapefruit Juice', 'Mint Leaves', 'Club Soda']",
274,335,,,"['Grapefruit Juice', 'Lime Juice', 'Agave Syrup']",
275,336,,,"['Grapefruit Juice', 'Club Soda', 'Rosemary']",
276,337,,,"['Grapefruit Juice', 'Sage Leaves', 'Soda Water']",
277,338,,,"['Grapefruit Juice', 'Soda Water', 'Grapefruit Slice']",
278,339,,,"['Grapefruit Juice', 'Club Soda', 'Mint Leaves']",
279,340,,,"['Spinach', 'Banana', 'Honey']",
280,341,,,"['Hibiscus tea', 'Lime Juice', 'Honey']",
281,342,,,"['Honeydew Melon Juice', 'Lime Juice', 'Basil leaves']",
282,343,,,"['Honeydew Melon Juice', 'Lime Juice', 'Mint Leaves']",
283,344,,,"['Kiwi', 'Lime Juice', 'Mint leaves']",
284,345,,,"['Kiwi Juice', 'Lime Juice', 'Agave Syrup']",
285,346,,,"['Lemonade', 'Kiwi', 'Strawberry']",
286,347,,,"['Lemonade', 'Lavender', 'Simple Syrup']",
287,348,,,"['Lemon Juice', 'Sage Leaves', 'Club Soda']",
288,349,,,"['Lemon Juice', 'Basil Syrup', 'Club Soda']",
289,350,,,"['Lemon Juice', 'Ginger Syrup', 'Iced Tea']",
290,351,,,"['Lemon Juice', 'Rosemary Syrup', 'Club Soda']",
291,352,,,"['Lime Juice', 'Cilantro Syrup', 'Club Soda']",
292,353,,,"['Mango Juice', 'Habanero Syrup', 'Lime']",
293,354,,,"['Mango', 'Yogurt', 'Sugar']",
294,355,,,"['Matcha Powder', 'Milk', 'Honey']",
295,356,,,"['Mint leaves', 'Lime Juice', 'Simple Syrup']",
296,357,,,"['Lemonade', 'Mint Leaves', 'Simple Syrup']",
297,358,,,"['Lime Juice', 'Club Soda', 'Mint Leaves']",
298,359,,,"['Orange Juice', 'Milk', 'Vanilla Extract']",
299,360,,,"['Orange Juice', 'Ginger Ale', 'Lime']",
300,361,,,"['Orange Juice', 'Pineapple Juice', 'Grenadine']",
301,362,,,"['Passionfruit juice', 'Habanero Syrup', 'Lime']",
302,363,,,"['Lemonade', 'Passionfruit Syrup', 'Lime']",
303,364,,,"['Mango', 'Agave Syrup', 'Passionfruit Juice']",
304,365,,,"['Peach Juice', 'Ginger Ale', 'Lime Juice']",
305,366,,,"['Peach tea', 'Lemonade', 'Peach Slice']",
306,367,,,"['Lemonade', 'Peach Syrup', 'Peach Slice']",
307,368,,,"['Peanut Butter', 'Banana', 'Milk']",
308,369,,,"['Pineapple Juice', 'Coconut Milk', 'Banana']",
309,370,,,"['Pineapple Juice', 'Coconut Water', 'Lime Juice']",
310,371,,,"['Pineapple Juice', 'Coconut water', 'Lime']",
311,372,,,"['Pineapple Juice', 'Cucumber Juice', 'Mint Leaves']",
312,373,,,"['Pineapple Juice', 'Jalapeno', 'Simple Syrup, Lime']",
313,374,,,"['Pineapple Juice', 'Mint syrup', 'Lime']",
314,375,,,"['Pineapple Juice', 'Sage Leaves', 'Tonic Water']",
315,376,,,"['Pomegranate Juice', 'Club Soda', 'Lemon']",
316,377,,,"['Pomegranate Juice', 'Lime Juice', 'Agave syrup']",
317,378,,,"['Lemonade', 'Raspberry Syrup', 'Club Soda']",
318,379,,,"['Lemonade', 'Raspberries', 'Simple Syrup']",
319,380,,,"['Raspberry Syrup', 'Lime Juice', 'Club Soda']",
