,Name,UserRating,Ingredients,FlavorProfile,PersonalRating,Comment,Favorite
0,Apple Cider Spritz,4.1,"['Apple Cider', 'Club Soda', 'Cinnamon Stick']","['Sweet', 'Refreshing']",-1,Unfilled,0
1,Banana Mango Smoothie,4.2,"['Banana', 'Mango', 'Yogurt']","['Sweet', 'Creamy']",-1,Unfilled,0
2,Beetroot Tonic,4.2,"['Beetroot Juice', 'Tonic Water', 'Lemon Juice']","['Bitter', 'Refreshing']",-1,Unfilled,0
3,Bitter Orange Spritzer,4.1,"['Orange Juice', 'Tonic Water', 'Grapefruit Juice']","['Bitter', 'Refreshing']",-1,Unfilled,0
4,Blackberry Ginger Spritzer,4.3,"['Ginger Beer', 'Lemon Juice', 'Blackberries']","['Sour', 'Refreshing']",-1,Unfilled,0
5,Blackberry Lemonade,4.2,"['Lemonade', 'Blackberries', 'Simple Syrup']","['Sweet', 'Refreshing']",-1,Unfilled,0
6,Blackberry Sage Spritzer,4.3,"['Blackberry Syrup', 'Club Soda', 'Sage Leaves']","['Sweet', 'Herbal']",-1,Unfilled,0
7,Blackberry Thyme Smash,4.2,"['Blackberries', 'Thyme Syrup', 'Lime']","['Sour', 'Herbal']",-1,Unfilled,0
8,Blood Orange Ginger Beer,4.1,"['Blood Orange Juice', 'Ginger Beer', 'Lime']","['Sour', 'Refreshing']",-1,Unfilled,0
9,Blueberry Ginger Fizz,4.3,"['Blackberry Syrup', 'Ginger Ale', 'Lime']","['Sour', 'Fruity']",-1,Unfilled,0
10,Blueberry Lemon Spritzer,4.1,"['Lemonade', 'Blueberries', 'Soda Water']","['Sweet', 'Fruity']",-1,Unfilled,0
11,Carrot Ginger Tonic,4.1,"['Carrot Juice', 'Ginger Juice', 'Tonic Water']","['Bitter', 'Spicy']",-1,Unfilled,0
12,Celery Tonic,4.2,"['Celery Juice', 'Tonic Water', 'Lemon Juice']","['Bitter', 'Refreshing']",4,Unfilled,0
13,Cherry Cola,4.0,"['Cherry Syrup', 'Cola', 'Cherry']","['Sweet', 'Fruity']",-1,Unfilled,0
14,Cherry Vanilla Soda,4.3,"['Cherry Syrup', 'Club Soda', 'Vanilla Extract']","['Sweet', 'Fruity']",-1,Unfilled,0
15,Chocolate Banana Shake,4.1,"['Milk', 'Banana', 'Chocolate Syrup']","['Creamy', 'Sweet']",-1,Unfilled,0
16,Citrus Mint Cooler,4.3,"['Orange Juice', 'Grapefruit Juice', 'Mint Leaves']","['Sour', 'Refreshing']",-1,Unfilled,0
17,Coconut Cream Chai,4.2,"['Chai Tea', 'Coconut Milk', 'Honey']","['Creamy', 'Spicy']",-1,Unfilled,0
18,Coconut Creamsicle,4.2,"['Coconut Milk', 'Orange Juice', 'Vanilla Extract']","['Creamy', 'Citrusy']",-1,Unfilled,0
19,Coconut Lime Cooler,4.2,"['Coconut Water', 'Lime Juice', 'Agave Syrup']","['Sweet', 'Creamy']",-1,Unfilled,0
