,Name,UserRating,Ingredients,FlavorProfile,PersonalRating,Comment,Favorite
0,Apple Cider Spritz,4.1,"['Apple Cider', 'Club Soda', 'Cinnamon Stick']","['Sweet', 'Refreshing']",-1,,0
1,Banana Mango Smoothie,4.2,"['Banana', 'Mango', 'Yogurt']","['Sweet', 'Creamy']",-1,,0
2,Beetroot Tonic,4.2,"['Beetroot Juice', 'Tonic Water', 'Lemon Juice']","['Bitter', 'Refreshing']",-1,,0
3,Bitter Orange Spritzer,4.1,"['Orange Juice', 'Tonic Water', 'Grapefruit Juice']","['Bitter', 'Refreshing']",-1,,0
4,Blackberry Ginger Spritzer,4.3,"['Ginger Beer', 'Lemon Juice', 'Blackberries']","['Sour', 'Refreshing']",-1,,0
5,Blackberry Lemonade,4.2,"['Lemonade', 'Blackberries', 'Simple Syrup']","['Sweet', 'Refreshing']",-1,,0
6,Blackberry Sage Spritzer,4.3,"['Blackberry Syrup', 'Club Soda', 'Sage leaves']","['Sweet', 'Herbal']",-1,,0
7,Blackberry Thyme Smash,4.2,"['Blackberries', 'Thyme syrup', 'Lime']","['Sour', 'Herbal']",-1,,0
8,Blood Orange Ginger Beer,4.1,"['Blood Orange Juice', 'Ginger Beer', 'Lime']","['Sour', 'Refreshing']",-1,,0
9,Blueberry Ginger Fizz,4.3,"['Blackberry Syrup', 'Ginger Ale', 'Lime']","['Sour', 'Fruity']",-1,,0
10,Blueberry Lemon Spritzer,4.1,"['Lemonade', 'Blueberries', 'Soda Water']","['Sweet', 'Fruity']",-1,,0
11,Carrot Ginger Tonic,4.1,"['Carrot Juice', 'Ginger Juice', 'Tonic Water']","['Bitter', 'Spicy']",-1,,0
12,Celery Tonic,4.2,"['Celery Juice', 'Tonic Water', 'Lemon Juice']","['Bitter', 'Refreshing']",-1,,0
13,Cherry Cola,4.0,"['Cherry Syrup', 'Cola', 'Cherry']","['Sweet', 'Fruity']",-1,,0
14,Cherry Vanilla Soda,4.3,"['Cherry Syrup', 'Club soda', 'Vanilla Extract']","['Sweet', 'Fruity']",-1,,0
15,Chocolate Banana Shake,4.1,"['Milk', 'Banana', 'Chocolate Syrup']","['Creamy', 'Sweet']",-1,,0
16,Citrus Mint Cooler,4.3,"['Orange Juice', 'Grapefruit Juice', 'Mint leaves']","['Sour', 'Refreshing']",-1,,0
17,Coconut Cream Chai,4.2,"['Chai Tea', 'Coconut Milk', 'Honey']","['Creamy', 'Spicy']",-1,,0
18,Coconut Creamsicle,4.2,"['Coconut Milk', 'Orange Juice', 'Vanilla Extract']","['Creamy', 'Citrusy']",-1,,0
19,Coconut Lime Cooler,4.2,"['Coconut Water', 'Lime Juice', 'Agave Syrup']","['Sweet', 'Creamy']",-1,,0
20,Cranberry Lime Spritzer,4.3,"['Cranberry Juice', 'Lime Juice', 'Club Soda']","['Sour', 'Refreshing']",-1,,0
21,Cranberry Orange Spritzer,4.2,"['Cranberry Juice', 'Orange Juice', 'Soda Water']","['Sweet', 'Fruity']",-1,,0
22,Cranberry Spritz,4.1,"['Cranberry Juice', 'Club Soda', 'Lime juice']","['Tart', 'Refreshing']",-1,,0
23,Cranberry Thyme Spritzer,4.2,"['Cranberry Juice', 'Thyme syrup', 'Club Soda']","['Sour', 'Herbal']",-1,,0
24,Cucumber Cooler,4.3,"['Cucumber Juice', 'Lime Juice', 'Club Soda']","['Bitter', 'Refreshing']",-1,,0
25,Cucumber Limeade,4.1,"['Cucumber Juice', 'Lime Juice', 'Agave Syrup']","['Refreshing', 'Sweet']",-1,,0
26,Cucumber Mint Cooler,4.2,"['Cucumber Juice', 'Lime Juice', 'Mint leaves']","['Refreshing', 'Herbal']",-1,,0
27,Dandelion Tea Spritz,4.2,"['Dandelion Root Tea', 'Club Soda', 'Lime Juice']","['Bitter', 'Refreshing']",-1,,0
