,Cocktail Name,Ingredient 1,Ingredient 2,Ingredient 3,Flavor Profile 1,Flavor Profile 2,User Rating
0,Apple Cider Spritz,Apple Cider,Club Soda,Cinnamon Stick,Sweet,Refreshing,4.1
1,Banana Mango Smoothie,Banana,Mango,Yogurt,Sweet,Creamy,4.2
2,Beetroot Tonic,Beetroot Juice,Tonic Water,Lemon Juice,Bitter,Refreshing,4.2
3,Bitter Orange Spritzer,Orange Juice,Tonic Water,Grapefruit Juice,Bitter,Refreshing,4.1
4,Blackberry Ginger Spritzer,Ginger Beer,Lemon Juice,Blackberries,Sour,Refreshing,4.3
5,Blackberry Lemonade,Lemonade,Blackberries,Simple Syrup,Sweet,Refreshing,4.2
6,Blackberry Sage Spritzer,Blackberry Syrup,Club Soda,Sage leaves,Sweet,Herbal,4.3
7,Blackberry Thyme Smash,Blackberries,Thyme syrup,Lime,Sour,Herbal,4.2
8,Blood Orange Ginger Beer,Blood Orange Juice,Ginger Beer,Lime,Sour,Refreshing,4.1
9,Blueberry Ginger Fizz,Blackberry Syrup,Ginger Ale,Lime,Sour,Fruity,4.3
10,Blueberry Lemon Spritzer,Lemonade,Blueberries,Soda Water,Sweet,Fruity,4.1
11,Carrot Ginger Tonic,Carrot Juice,Ginger Juice,Tonic Water,Bitter,Spicy,4.1
12,Celery Tonic,Celery Juice,Tonic Water,Lemon Juice,Bitter,Refreshing,4.2
13,Cherry Cola,Cherry Syrup,Cola,Cherry,Sweet,Fruity,4.0
14,Cherry Vanilla Soda,Cherry Syrup,Club soda,Vanilla Extract,Sweet,Fruity,4.3
15,Chocolate Banana Shake,Milk,Banana,Chocolate Syrup,Creamy,Sweet,4.1
16,Citrus Mint Cooler,Orange Juice,Grapefruit Juice,Mint leaves,Sour,Refreshing,4.3
17,Coconut Cream Chai,Chai Tea,Coconut Milk,Honey,Creamy,Spicy,4.2
18,Coconut Creamsicle,Coconut Milk,Orange Juice,Vanilla Extract,Creamy,Citrusy,4.2
19,Coconut Lime Cooler,Coconut Water,Lime Juice,Agave Syrup,Sweet,Creamy,4.2
